Dia,Susceptibles,Infectados,Recuperados
0,999697,295,8
1,999288,683,29
2,998564,1340,96
3,997588,2177,235
4,996334,3232,434
5,994712,4536,752
6,992748,6056,1196
7,990519,7661,1820
8,987861,9540,2599
9,984840,11587,3573
10,981472,13765,4763
11,977790,16048,6162
12,973668,18542,7790
13,969149,21208,9643
14,964309,23917,11774
15,959156,26658,14186
16,953537,29533,16930
17,947559,32516,19925
18,941268,35523,23209
19,934593,38556,26851
20,927529,41756,30715
21,920227,44880,34893
22,912613,47945,39442
23,904664,51139,44197
24,896482,54177,49341
25,888033,57238,54729
26,879381,60112,60507
27,870303,63215,66482
28,860922,66404,72674
29,851218,69532,79250
30,841257,72498,86245
31,831231,75345,93424
32,820937,78178,100885
33,810381,80964,108655
34,799748,83482,116770
35,788832,86080,125088
36,777922,88401,133677
37,766815,90701,142484
38,755603,92954,151443
39,744375,95017,160608
40,733033,96777,170190
41,721355,98872,179773
42,709791,100490,189719
43,697993,102231,199776
44,686148,103959,209893
45,674263,105518,220219
46,662336,107023,230641
47,650296,108228,241476
48,638245,109458,252297
49,626182,110461,263357
50,614229,111254,274517
51,602192,112266,285542
52,590353,112828,296819
53,578467,113469,308064
54,566537,113947,319516
55,554611,114421,330968
56,542741,114714,342545
57,530734,115303,353963
58,518739,115931,365330
59,506695,116526,376779
60,494761,116894,388345
61,482685,117291,400024
62,470713,117441,411846
63,458750,117727,423523
64,446872,117699,435429
65,434834,117996,447170
66,423226,117781,458993
67,411622,117612,470766
68,399977,117401,482622
69,388386,117368,494246
70,377044,117001,505955
71,365827,116584,517589
72,354908,115786,529306
73,344120,115118,540762
74,333383,114377,552240
75,322933,113386,563681
76,312589,112373,575038
77,302527,110987,586486
78,292693,109638,597669
79,283080,108516,608404
80,273599,107302,619099
81,264299,106030,629671
82,255331,104370,640299
83,246585,102749,650666
84,238081,100894,661025
85,229636,99132,671232
86,221568,97280,681152
87,213696,95371,690933
88,205849,93626,700525
89,198282,91743,709975
90,190920,89839,719241
91,183764,87907,728329
92,176686,86300,737014
93,169886,84516,745598
94,163197,82723,754080
95,156807,80778,762415
96,150651,78896,770453
97,144638,77001,778361
98,139029,74830,786141
99,133586,72789,793625
100,128447,70704,800849
101,123496,68610,807894
102,118617,66560,814823
103,114073,64282,821645
104,109587,62367,828046
105,105213,60441,834346
106,101254,58288,840458
107,97301,56467,846232
108,93401,54572,852027
109,89705,52726,857569
110,86154,50912,862934
111,82704,49218,868078
112,79285,47775,872940
113,75960,46318,877722
114,72813,44845,882342
115,69776,43427,886797
116,66718,42097,891185
117,63811,40771,895418
118,60926,39471,899603
119,58132,38395,903473
120,55435,37369,907196
121,52825,36267,910908
122,50202,35308,914490
123,47638,34393,917969
124,45171,33355,921474
125,42759,32506,924735
126,40412,31644,927944
127,38108,30743,931149
128,35948,29824,934228
129,33919,28902,937179
130,31994,27990,940016
131,30106,27031,942863
132,28302,26074,945624
133,26605,25168,948227
134,24973,24230,950797
135,23378,23344,953278
136,21880,22415,955705
137,20446,21612,957942
138,19054,20869,960077
139,17791,20013,962196
140,16610,19202,964188
141,15527,18359,966114
142,14480,17599,967921
143,13559,16758,969683
144,12775,15790,971435
145,12015,15004,972981
146,11293,14187,974520
147,10561,13503,975936
148,9866,12821,977313
149,9217,12140,978643
150,8608,11534,979858
151,8007,11005,980988
152,7397,10507,982096
153,6833,9994,983173
154,6257,9586,984157
155,5741,9160,985099
156,5228,8710,986062
157,4752,8341,986907
158,4304,7916,987780
159,3921,7477,988602
160,3543,7126,989331
161,3201,6775,990024
162,2869,6418,990713
163,2591,6061,991348
164,2315,5684,992001
165,2048,5342,992610
166,1801,5072,993127
167,1578,4775,993647
168,1365,4516,994119
169,1181,4202,994617
170,1018,3947,995035
171,894,3641,995465
172,789,3360,995851
173,699,3113,996188
174,618,2882,996500
175,538,2640,996822
176,463,2424,997113
177,399,2244,997357
178,337,2115,997548
179,295,1935,997770
180,251,1790,997959
181,211,1654,998135
182,174,1526,998300
183,145,1401,998454
184,112,1290,998598
185,84,1171,998745
186,60,1063,998877
187,46,971,998983
188,31,888,999081
189,26,803,999171
190,21,725,999254
191,14,659,999327
192,11,606,999383
193,11,550,999439
194,11,495,999494
195,11,448,999541
196,11,386,999603
197,11,352,999637
198,11,320,999669
199,11,295,999694
200,11,270,999719
201,11,239,999750
202,11,207,999782
203,11,183,999806
204,11,167,999822
205,11,154,999835
206,11,134,999855
207,11,115,999874
208,11,106,999883
209,11,98,999891
210,11,87,999902
211,11,81,999908
212,11,73,999916
213,11,62,999927
214,11,57,999932
215,11,56,999933
216,11,51,999938
217,11,47,999942
218,11,43,999946
219,11,40,999949
220,11,32,999957
221,11,29,999960
222,11,28,999961
223,11,23,999966
224,11,21,999968
225,11,17,999972
226,11,14,999975
227,11,11,999978
228,11,10,999979
229,11,10,999979
230,11,8,999981
231,11,8,999981
232,11,8,999981
233,11,7,999982
234,11,5,999984
235,11,5,999984
236,11,4,999985
237,11,3,999986
238,11,3,999986
239,11,3,999986
240,11,3,999986
241,11,3,999986
242,11,3,999986
243,11,3,999986
244,11,3,999986
245,11,3,999986
246,11,3,999986
247,11,3,999986
248,11,3,999986
249,11,2,999987
250,11,2,999987
251,11,2,999987
252,11,2,999987
253,11,2,999987
254,11,2,999987
255,11,2,999987
256,11,2,999987
257,11,2,999987
258,11,2,999987
259,11,2,999987
260,11,2,999987
261,11,1,999988
262,11,1,999988
263,11,1,999988
264,11,1,999988
265,11,1,999988
266,11,1,999988
267,11,1,999988
268,11,1,999988
269,11,0,999989
