Dia,Susceptibles,Infectados,Recuperados
0,999693,299,8
1,999265,698,37
2,998582,1331,87
3,997588,2191,221
4,996289,3277,434
5,994627,4623,750
6,992641,6106,1253
7,990267,7868,1865
8,987600,9788,2612
9,984576,11779,3645
10,981195,13984,4821
11,977385,16402,6213
12,973221,18929,7850
13,968732,21603,9665
14,963841,24371,11788
15,958540,27249,14211
16,952859,30184,16957
17,946792,33178,20030
18,940471,36230,23299
19,933834,39230,26936
20,926811,42365,30824
21,919426,45558,35016
22,911699,48828,39473
23,903618,52074,44308
24,895131,55324,49545
25,886340,58521,55139
26,877290,61690,61020
27,868026,64759,67215
28,858431,67802,73767
29,848746,70711,80543
30,838708,73814,87478
31,828449,76704,94847
32,818069,79396,102535
33,807575,82050,110375
34,796780,84737,118483
35,785846,87297,126857
36,774712,89704,135584
37,763399,91921,144680
38,752081,93917,154002
39,740623,96071,163306
40,729048,98137,172815
41,717445,99843,182712
42,705550,101836,192614
43,693689,103479,202832
44,681662,105227,213111
45,669483,106830,223687
46,657300,108489,234211
47,645121,109732,245147
48,633093,110913,255994
49,620940,111952,267108
50,608888,112723,278389
51,596775,113565,289660
52,584809,114171,301020
53,572742,114857,312401
54,560533,115767,323700
55,548201,116613,335186
56,535978,117019,347003
57,523670,117673,358657
58,511494,118089,370417
59,499343,118475,382182
60,487020,118910,394070
61,474757,119158,406085
62,462606,119448,417946
63,450663,119431,429906
64,438645,119521,441834
65,426666,119773,453561
66,414806,119573,465621
67,403168,119335,477497
68,391398,119104,489498
69,379958,118614,501428
70,368627,118025,513348
71,357588,117284,525128
72,346596,116642,536762
73,335740,115841,548419
74,325103,115019,559878
75,314656,114079,571265
76,304246,112964,582790
77,294211,111680,594109
78,284187,110596,605217
79,274345,109553,616102
80,264787,107981,627232
81,255547,106475,637978
82,246307,105160,648533
83,237317,103578,659105
84,228624,101937,669439
85,220237,100196,679567
86,212016,98467,689517
87,204187,96376,699437
88,196622,94440,708938
89,189194,92330,718476
90,181968,90417,727615
91,174969,88236,736795
92,168257,86123,745620
93,161560,84306,754134
94,155213,82130,762657
95,149223,79928,770849
96,143408,77747,778845
97,137807,75686,786507
98,132439,73535,794026
99,127398,71257,801345
100,122567,68941,808492
101,117895,66615,815490
102,113407,64314,822279
103,109115,62267,828618
104,105023,60062,834915
105,100982,58076,840942
106,97069,56151,846780
107,93321,54239,852440
108,89660,52468,857872
109,86049,50951,863000
110,82585,49291,868124
111,79170,47648,873182
112,75829,46230,877941
113,72604,44791,882605
114,69479,43382,887139
115,66553,42015,891432
116,63657,40673,895670
117,60827,39465,899708
118,58072,38323,903605
119,55362,37149,907489
120,52703,36003,911294
121,50084,34969,914947
122,47530,33983,918487
123,45078,33026,921896
124,42662,32160,925178
125,40329,31209,928462
126,38099,30289,931612
127,35969,29510,934521
128,33897,28708,937395
129,31880,27809,940311
130,30034,26795,943171
131,28249,25871,945880
132,26613,24942,948445
133,24959,24103,950938
134,23464,23180,953356
135,22013,22336,955651
136,20674,21512,957814
137,19358,20634,960008
138,18177,19866,961957
139,17046,19007,963947
140,15971,18177,965852
141,14951,17424,967625
142,13989,16645,969366
143,13131,15896,970973
144,12295,15146,972559
145,11539,14447,974014
146,10771,13799,975430
147,10071,13147,976782
148,9378,12605,978017
149,8713,12001,979286
150,8066,11413,980521
151,7436,10931,981633
152,6894,10354,982752
153,6321,9922,983757
154,5804,9468,984728
155,5297,9033,985670
156,4822,8535,986643
157,4372,8098,987530
158,3933,7709,988358
159,3545,7312,989143
160,3169,6976,989855
161,2803,6634,990563
162,2456,6334,991210
163,2165,5956,991879
164,1897,5678,992425
165,1650,5387,992963
166,1428,5031,993541
167,1225,4708,994067
168,1037,4411,994552
169,844,4175,994981
170,675,3889,995436
171,550,3643,995807
172,462,3373,996165
173,403,3098,996499
174,339,2845,996816
175,283,2632,997085
176,225,2417,997358
177,182,2220,997598
178,148,2009,997843
179,117,1834,998049
180,89,1685,998226
181,71,1523,998406
182,55,1397,998548
183,46,1247,998707
184,38,1131,998831
185,28,1039,998933
186,22,942,999036
187,17,847,999136
188,15,777,999208
189,14,701,999285
190,14,627,999359
191,14,558,999428
192,14,495,999491
193,13,448,999539
194,12,393,999595
195,12,351,999637
196,12,311,999677
197,12,280,999708
198,12,263,999725
199,12,233,999755
200,12,204,999784
201,12,182,999806
202,12,160,999828
203,12,141,999847
204,12,128,999860
205,12,115,999873
206,12,100,999888
207,12,87,999901
208,12,80,999908
209,12,73,999915
210,12,66,999922
211,12,54,999934
212,12,53,999935
213,12,47,999941
214,12,44,999944
215,12,42,999946
216,12,35,999953
217,12,31,999957
218,12,27,999961
219,12,26,999962
220,12,25,999963
221,12,23,999965
222,12,22,999966
223,12,17,999971
224,12,15,999973
225,12,14,999974
226,12,12,999976
227,12,8,999980
228,12,7,999981
229,12,7,999981
230,12,7,999981
231,12,6,999982
232,12,6,999982
233,12,6,999982
234,12,6,999982
235,12,5,999983
236,12,5,999983
237,12,5,999983
238,12,5,999983
239,12,5,999983
240,12,5,999983
241,12,5,999983
242,12,5,999983
243,12,4,999984
244,12,4,999984
245,12,3,999985
246,12,2,999986
247,12,2,999986
248,12,2,999986
249,12,2,999986
250,12,2,999986
251,12,2,999986
252,12,2,999986
253,12,2,999986
254,12,2,999986
255,12,1,999987
256,12,1,999987
257,12,1,999987
258,12,1,999987
259,12,1,999987
260,12,0,999988
