Dia,Susceptibles,Infectados,Recuperados
0,999699,286,15
1,999295,655,50
2,998632,1255,113
3,997613,2156,231
4,996311,3243,446
5,994706,4539,755
6,992747,5998,1255
7,990403,7702,1895
8,987690,9697,2613
9,984585,11755,3660
10,981132,14088,4780
11,977368,16383,6249
12,973180,18943,7877
13,968602,21630,9768
14,963740,24311,11949
15,958486,27127,14387
16,952866,30042,17092
17,946854,33104,20042
18,940475,36202,23323
19,933880,39131,26989
20,926748,42330,30922
21,919410,45472,35118
22,911783,48562,39655
23,903938,51507,44555
24,895726,54558,49716
25,887219,57608,55173
26,878618,60499,60883
27,869575,63487,66938
28,860182,66470,73348
29,850439,69618,79943
30,840595,72557,86848
31,830529,75267,94204
32,820362,78010,101628
33,809959,80756,109285
34,799254,83533,117213
35,788491,85980,125529
36,777478,88486,134036
37,766379,90682,142939
38,755222,92760,152018
39,743683,94955,161362
40,732092,96967,170941
41,720594,98823,180583
42,708894,100643,190463
43,696912,102534,200554
44,684877,104228,210895
45,672807,105973,221220
46,660413,107871,231716
47,648269,109128,242603
48,636025,110457,253518
49,623740,111665,264595
50,611477,112605,275918
51,599329,113677,286994
52,587215,114242,298543
53,575137,115078,309785
54,563009,115653,321338
55,550850,116212,332938
56,538640,116747,344613
57,526358,117473,356169
58,514192,117888,367920
59,501897,118406,379697
60,489639,118780,391581
61,477283,119151,403566
62,465179,119311,415510
63,453107,119381,427512
64,441118,119476,439406
65,429391,119292,451317
66,417451,119327,463222
67,405664,119163,475173
68,393874,118996,487130
69,382219,118658,499123
70,370707,118279,511014
71,359428,117810,522762
72,348270,117060,534670
73,337191,116487,546322
74,326319,115862,557819
75,315711,114728,569561
76,305272,113721,581007
77,295054,112589,592357
78,285124,111231,603645
79,275344,109676,614980
80,265694,108293,626013
81,256246,106891,636863
82,247081,105287,647632
83,238151,103621,658228
84,229464,101923,668613
85,221060,100115,678825
86,213070,98109,688821
87,205208,96125,698667
88,197674,94258,708068
89,190288,91940,717772
90,183013,89984,727003
91,176046,87811,736143
92,169228,85932,744840
93,162673,83959,753368
94,156417,81746,761837
95,150251,79677,770072
96,144364,77473,778163
97,138760,75516,785724
98,133464,73158,793378
99,128297,70913,800790
100,123312,68676,808012
101,118493,66575,814932
102,113765,64704,821531
103,109313,62688,827999
104,105082,60591,834327
105,101012,58618,840370
106,97055,56719,846226
107,93271,54881,851848
108,89634,52911,857455
109,86120,51130,862750
110,82796,49271,867933
111,79531,47681,872788
112,76341,46071,877588
113,73220,44660,882120
114,70192,43142,886666
115,67268,41717,891015
116,64396,40455,895149
117,61593,39290,899117
118,58779,38162,903059
119,56157,36892,906951
120,53542,35832,910626
121,50965,34798,914237
122,48440,33902,917658
123,46020,32913,921067
124,43636,32023,924341
125,41292,31093,927615
126,39014,30297,930689
127,36853,29480,933667
128,34728,28632,936640
129,32651,27936,939413
130,30646,27139,942215
131,28817,26231,944952
132,27064,25364,947572
133,25408,24454,950138
134,23859,23643,952498
135,22450,22799,954751
136,21081,21868,957051
137,19827,20954,959219
138,18601,20105,961294
139,17415,19315,963270
140,16338,18470,965192
141,15349,17698,966953
142,14387,16852,968761
143,13465,16102,970433
144,12604,15374,972022
145,11820,14581,973599
146,11045,13912,975043
147,10356,13206,976438
148,9652,12602,977746
149,8995,11992,979013
150,8317,11448,980235
151,7688,10899,981413
152,7066,10412,982522
153,6466,9994,983540
154,5894,9537,984569
155,5361,9095,985544
156,4883,8651,986466
157,4401,8313,987286
158,3938,7918,988144
159,3522,7531,988947
160,3143,7203,989654
161,2790,6862,990348
162,2509,6386,991105
163,2252,6008,991740
164,1992,5669,992339
165,1756,5336,992908
166,1533,5025,993442
167,1328,4710,993962
168,1170,4399,994431
169,1013,4111,994876
170,885,3841,995274
171,769,3581,995650
172,665,3323,996012
173,566,3094,996340
174,502,2841,996657
175,443,2602,996955
176,383,2419,997198
177,329,2247,997424
178,277,2074,997649
179,234,1938,997828
180,204,1782,998014
181,177,1642,998181
182,158,1471,998371
183,128,1367,998505
184,102,1253,998645
185,87,1153,998760
186,73,1042,998885
187,57,943,999000
188,44,860,999096
189,34,789,999177
190,21,731,999248
191,15,661,999324
192,14,596,999390
193,13,532,999455
194,13,468,999519
195,12,421,999567
196,12,371,999617
197,12,345,999643
198,12,308,999680
199,12,274,999714
200,12,253,999735
201,12,230,999758
202,12,201,999787
203,12,178,999810
204,12,165,999823
205,12,151,999837
206,12,140,999848
207,12,127,999861
208,12,111,999877
209,12,104,999884
210,12,92,999896
211,12,85,999903
212,12,72,999916
213,12,63,999925
214,12,62,999926
215,12,54,999934
216,12,48,999940
217,12,43,999945
218,12,38,999950
219,12,34,999954
220,12,30,999958
221,12,28,999960
222,12,20,999968
223,12,19,999969
224,12,18,999970
225,12,17,999971
226,12,15,999973
227,12,12,999976
228,12,12,999976
229,12,12,999976
230,12,10,999978
231,12,9,999979
232,12,8,999980
233,12,6,999982
234,12,6,999982
235,12,6,999982
236,12,5,999983
237,12,5,999983
238,12,5,999983
239,12,5,999983
240,12,4,999984
241,12,4,999984
242,12,3,999985
243,12,3,999985
244,12,3,999985
245,12,2,999986
246,12,2,999986
247,12,2,999986
248,12,2,999986
249,12,1,999987
250,12,0,999988
